review_content,review_rating
I have been told twice that my complaint is been escalted and I will be called within 48hours since January I have to complain here 3 times and still no one can answer me regarding my complaint this is amnoying that i have to chase after you when i complain but if i dont call you can call me 5-6 times a days your service is disgusting,1
"This bank is something else. I trusted them with my money and they cannot help with fraud transactions made into my account Via Uber,they are telling me it’s not fraud…*** any money that moves from my account without my authority is fraud to me. The money went out in the 23rd and the statement I got from them said 24th,which ****** bank gets dates wrong. They then ask me to do an investigation with Uber eats. Uber eats doesn’t recognise 3 of the transactions there, howwww if they reflect on my account and statement? I know other banks confirm such things especially more than 2 transactions going through to the same company, before proceeding with the princess 3rd or fourth transactions,this stupid bank went and let 4 transactions go through R1700 on uber eats. Mind you all their texts were delayed,these transactions were made around 18:00 I got a notification at 20:00,the last 1 I got at 22:00 and this payment was made at 19:00. Had I had received this earlier I would have stopped the card ASAP. I blocked the card and went to get a new card,when I tried to buy with the card it was not active,I go back to the branch and to see what was the matter,they couldn’t figure it out!!My card would be sorted in 72 hours,I have a fuggin child that needed food!!
!I then send money so I can collect at Shoprite…This was at 15:30 it’s 03:42 now I still haven’t received that text with pin and ref number.You are so incompetent it’s ridiculous, I want my money back,that money is insured,investigate as much as you want,but I want my money back. I need answers, I’d rather go bank into paying those FNB charges than being told unknown transactions aren’t fraud.",1
"Hi guys 

I just want to make a follow up in regards to the settlement offer I was advised of 
May you kindly contact me on ********** so I can hear the offers available.",5
"Not very helpful, would not recommend.",1
"On shoprite/checkers Voucher I received from African Bank of R150 I only spend R100 then the next tried to spend the remaining  R50 using same Wicode but declined , what happened to the R50?",3
"This is the last month ""If you don't want to get stressed, Please don't open an African Bank account!!!! My credit card had fraudulent activities on it, I logged request for investigation the matter was not resolve, then I requested for a new card since the matter was not resolve so I can continue using the credit card, 3 weeks without any help from consultants. I went to 3 branches... Made phone calls.. No help"" Guess what??? Even now the matter is still not resolved!!",1
"I went to an African bank branch. I informed the consultant I would like to close my investment account. And I further gave them updated banking details for them to forward the amount remaining. The branch consultant said he can't help but will investigate the matter.why can't he help? because I once withdraw from my account. But promised the matter will be sorted.

With no response from the branch for over 5days I decided to contact them on tweeter. I clearly stated my problem and I was told to expect a call. I received a call which asked me to verify my personal information. I told the agent my id number and full name. Then I was asked the company contact numberI used to work for which I registered when opening the account. I mentioned the company and I mentioned that I haven't been working for the company for over 5years and I don't know there number. The consultant said she can't help me. So now it means I will never get my money. African bank keeps proving how stupid and incompetent they are I am so angry.",1
"Feedback after complaint log or rather lack thereof.  It all started with credit card application which was approved in Jan 2022.  Delivery of card done at work address.  NOBODY informed me that I will have to go to a branch (which are 200km from me) to activate card.  After telephone attempt to active card, I was informed to go to a branch.  On 24 Jan 2022 went to branch and informed that the card was cancelled because it was not activated in time.  Did a branch application again, card was issued and then apparently could not get hold of me to do security verification.  Again 2nd card was cancelled.  Third time, I applied on app, received the contract and after 2 days a sms informing transaction declined.  When I phoned in, the reason provided was that they could not confirm employment - NONSENSE!  How was it done the previous 2 times?  Complaint ref nr provided with sms on 11 Feb 2022.  Will take 7 business days to investigate.  Numerous times I received a call on cellphone which ranged once and then dead or if I picked up, no one on other side.  Phoned back and asked that they please make note that if not reachable on cellphone to phone landline.  Today I followed up again and the gentleman informed me that the complaints was closed, as they could not reach me.  I asked what the outcome was for my complaint and again the reason could not reach me.  This is not feedback on my original complaint and nobody phoned landline.  He informed me if I am not happy with the outcome, I can log a complaint with Ombudsman.  Insisted to speak to supervisor.  Again I had to tell the whole reason for my complaint and again provided my landline nr.  She informed me she will logged another complaint.  Again have to wait 7 business days?  No No No!  Insisted that they call me before 17h00 today.  Needless to say.........no call.",1
"Applied for a loan a few days ago. I don't know how these people work. The day I applied the called me so quickly to do the application. I asked to think about the offer, they knew how to follow up. After I accepted, they just went quiet.. No follow up or even a sms to advise if my application was successful or not. I requested call back and till today no call has been returned. Such unprofessionalism makes me understand why people say this is the worst bank.",1
We paid my husband's credit card settlement amount and the credit card is still op. We have yet someone to contact us or send him a settlement letter,1
"Actually the dont deserve even that 1 star. They decided to update their app and when they were done i am unable to log in. Keeps saying please check details entered. Deleted the app and downloaded another one but still, then decided to go to a branch where i left happy cz i could access online banking but it worked for few days  and went offline as well. Not have no access to my money i dont have money to go to work. I Visited their Fb page and they promised to call me which they said they tried but never did my fone was never off and then getting an sms saying "" unfortunately you have locked your pin"" giving me steps to reset my pin. The very same pin i last used on the online banking on Sunday Midday and on the app i last used it before their stupid upgrade. Now i want to know who locked the pin??????   And how was it locked because the last time i used it it worked perfectly..

Visited the website to reset thinking it will work. I have been waiting for the otp it almost an hour now.  this is not fair at all!!!!!!!",1
"Since 2016 I've been using African.. Borrowing money..
Everything is perfect.. You know what you pay for   
Thank you African Bank.. 
Tembisa, Kempton park and East gate mall.. You the best",5
"I Being charged when the credit card declined, when I have money, this is no longer funny, I cannot be humiliated all the time I am using this Credit card, and when I complain here u tell me that I must call your call centre no, where the consultants drops the call immediately when rhey hear that I am complaining about the fees that I am charged wn my card is declining, for the last time resolve this issue and refund me the money that I have been charged from last year,

If this issue is not resolved within 10 days, I am going to closes this dam credit card.",1
"I need help with App I deleted it several times. When I M trying to log in, I don't receive OTP number please assist I need to make transactions bathong. My number ********** and **********",1
