review_content,review_rating
"The final straw has been a significant payment due to me (which was done on the 18th Feb), still not reflecting as at today (25th Feb). Upon calls to the agents they indicate I need to submit POP. I get the payer to do so, via a sms which I send to the discovery email address. They are unable to resolve with this, and must have a PDF. But why?? Anytime you do a POP you have an option to select a sms, or email notification? So why now need a PDF when all details are on the sms? In any event, the agent then tells me it will take 10 working days. What rubbish, when require funds now, and it is not my fault. I also need to state that when the person attempted to do the transaction on their own, they could not, even with the ACCOUNT NUMBER provided. Their banker had to do it. This is absolutely horrible, and the last of many disappointments. Will be switching accounts.",1
"Worst bank I've dealt with (I have accounts at Standard, FNB, Nedbank).
Contrary to their advertising, Discovery Bank's credit card interest rates are higher than other banks.
They force you to use the phone app, which frequently crashes or connection is unavailable. Functions are obscure/ not intuative.
My advice - avoid Discovery Bank, rather stay with any of the big four banks.",1
"So apparently ""Missing"" Forex Payments are a norm with #DiscoveryBank

4 Clients in came in with the exact same issue.

10hrs + on phone, 2 bank visits and no one has answers.",1
It's been a week since I sent proofof payment spoken to Kabeko R and to Bathabile who both did not log a query until I spoke With Kagisi who did log a call and gave me the queelry number. However it's again 48 hrs since and still have it heard from them.,1
"My complaint is around the so called Discovery iPhone Benefit!! In January 2022 I activated this ""benefit"". So on 11/01/2022 I purchased the phone from the iStore, resulting in an amount of R15 000 being taken off my straight facility by Discovery Bank. This is because I did not have a budget facility.

On 13/01/2022, I made an EFT of R15 000 into the Discovery Credit card, settling the full amount owing on the credit card.
In February 2022, I was shocked when Discovery Bank debited my straight facility by an amount of about R780. I am not sure what this is for because I do not owe Discovery anything. As I paid for the phone in full. The only expectation I have is to receive the refund.
I have called trying to resolve this matter, but no one at the bank is willing to assist.
As my attempts to get answers and get my money back from Discovery Bank have not been ignored by Discovery, I will be escalating this matter to the Prudential Authority.",1
"On the 22 February 2022 at about 09h05 I missed a call from dsv courier **********) I tried returning it and spoke to someone called Nkolizi I told her that I was returning a call as well as expecting delivery of my bank card. 
She insisted that I provide a reference number before being assisted. I tried informing her that there's no message or sms so I won't have any reference. We then had a stalemate since she wants a reference number of which I don't have. Discovery bank contracted this incompetent company and I'm questioning myself if I should bank with them when getting a bank card is such a nightmare.",1
"Absolutely love my banking experience here. Signing up is a few clicks away, this bank really puts its weight behind healthy banking habits. If you are on your way to financial banking freedom, I highly advise you look at discovery. They have by far the best banking app, the most interactive money saving/investment guide. Great tracking of your net worth and the best rewards system. With healthy spending you earn back your Vitality Money monthly premium. If you are lucky enough to afford to have all your products in-house with them then you will derive 100% value back on all your vitality products.",5
"Called this morning regarding fees on my account. The first agent was clearly working from home with a bad connection and couldn't hear me well. Then she couldn't hear me at all for some reason. So I had to put down... Why didn't she call back if she had my details? I then called m again and spoke to Mini who hardly understood my basic questions and really wasn't clued up. A most frustrating experience... Not the type of service I expect from a 'premium bank'
I'd like a team leader/supervisor to call me asap",2
"First of all, I had to select a star, they don't deserve a single one. Charged me the exact amount twice and refuse to refund my money. I've spoken to over 10 incompetent consultants that all say 'it's been escalated to the relevant department' a division without communication. 5 days waiting for them to fix this problem and nobody has the decency to own up to the stupidity nor send some sort of feedback. I'm appalled by their service and overall support, lack of really.",1
"You go online to apply for credit card, then they call you, and at point blank you get declined. They dont give a reason as to why what so ever.
You must apply for credit to build ur credit score but get declined when you want to get credit.",1
