review_content,review_rating
"Having been an assitant intermediary for the group in the past and seeing how much effort it's been to get the promise fulfilled, I am questioning whether it's worth it to remain a client. In the event of a claim, will my experience be like this too?

I joined during the 10 year anniversary promotion wherein if I obtained gold status on Vitalitydrive in the 3 months after joining I'd get 50% of 6 months' premiums paid back to me. I met this requirement and some.

We're well over 8 months in now and I am still being told of escalations that haven't taken place or that have been ignored by the finance department.

As someone who has worked in client service for several years it makes me sad that this is the kind of service one receives. It takes a lot away from the brand and makes one question all the referrals they have given. 

A bit of background:

I've called on 9 December 2021 at 18h04 and missed you, fair enough.

1) 10 February 2022 at 14h18 (19 minute call with Thobeka, which I later found out was a waste of time because my query wasn't even attended to, never mind escalated like she said it would be)

2) 17 February 2022 at 14h40 for 9 minutes where I was told my query was being escalated to the finance for payment (on day 7 of the 5-10 working day period during which I should have received payment). 

3) 23 February 2022 at 10h53 during which I was told by Mota that I indeed qualified for the refund and it would be processed and paid to me before the week was out and today (which is when the 'week is out') I am told it should have been released already but it hasn't.

My ask is this: when you need to collect premiums, you do not hesitate yet, when you need to do the honourable thing, the client has to raise the issue of your breach and then follow-up numerous times for you to fulfill your promise.

I told the last 2 consultants i spoke to that this review would be my last resort because I hold this company in high regard and I've given you the benefit of the doubt but now I feel I'm being treated like I don't matter.

Please let me know if I am being unreasonable and asking for more than what was promised by you.",1
"I would like to say big up to Mathibedi Cheue, on an awesome experience and professionalism throughout our engagement, he is a star.",5
We have been robbed at knifepount while being tied up for 4 hours in October last year.  Our car was taken as well. 4 months later the car is written off while we are still paying insurance.  All jewellery was taken from the safe with the valuation certificates for which we could provide photographs.  Discovery will not pay out more than R3000 per item.  The communication is pathetic.  To find out who is dealing with your claim is one thing.  To get hold of that person takes hours.   Most of the time they are not at their desks.  In the meantime your call is placed on hold just to be cut off.,5
Yandiswa at the Discovery Insure call centre was absolutely amazing! My broker messed up my quote and COC and Yandiswa literally saved the day! Thank you!,5
"I was stuck on the N1 going south right after picking up my daughters from school, called Discovery, a lady by the name Aretha Tobias from the Emergency Services department and they sent a Tow truck with an emergency fuel 

The assistance was there in less than 45 minutes",5
"Thank you Hloni for your exceptional client experience, Your industry knowledge and expertise is surpassed only by your exceptional client service and outstanding communication skills. You are an asset to the Building Claims team and should be commended. Its a joy working with you. I look forward to having you appointed to my next building claim.",5
"How does discovery justify two increases a month a part ? 
How do they calculate there increases which are way above inflation? 
When I started with discovery at the end of the first year they gave me an increase of 21% . I sold the vehicle got another another vehicle now this year they giving me an increase on the 1st of  March called the annual increase and I got a letter yesterday saying die to the economy and other stories I will get another increase . 
I called them today and nobody can tell me what the second increase will be . This is pathetic and beyond acceptable .",5
"To whom it may concern

A client of Discovery Insure damaged my car by reversing onto my car and drove off.
I managed to track the client down through the SAPS. The client thereafter lodged a claim with discovery.
I sent through all required documents to Discovery, and they got a company to assess my vehicle after receiving the documents.
Once the assessment was done, Nonhlanhla Sinthumule requested banking details to make payment for the damage, which was sent to her.
After a week, she sends me an email stating the claim has been rejected due to outstanding documents which she never requested, how is that even possible
She did not carry out her job properly, furthermore it was Discovery client negligence which caused the damage.
Can I get some feedback on this claim as Nonhlanhla Sinthumule just does not respond to any emails as she is so incompetent.
 My claim number - Claim: **********",1
"I needed to cancel a car on my policy with discovery and Tasmina Nair assisted me to do so, She was very helpful and friendly, and efficient with my query, Great service from discovery insure retentions department",5
Mathapelo Sekgarametso is an excellent broker consultant who delivers timely service with a massive smile! Thank you for always making calls easier Mathapelo Sekgarametso!,5
"On the 21st January 2022, I was involved in a collision on M2 Johannesburg. The matter was reported to the Authorities. I have my case number. The Opposite party who was the client for Discovery insure, accepted his fault and assured me that my vehicle will be repaired by his insurance company.
I have been trying to phone Discovery insure for over a month now, but all in vain. The only response I get from them is that one of their agents will call me and I should wait. It's over a month now and I am unable to drive my car. I was not at fault and yet I must suffer so long to have my car repaired.
Please assist",1
Rakesh Raju is an absolute star. He handles queries with professionalism and is always friendly. He is an absolute star and an asset to the team! THANK YOU,5
"I was insured by Discovery Insure. I was involved in a head on collision on 30 January 2022.  The premium for Feb 2022 was deducted even though the car was already in the s**** yard. To date, it has cost me time and effort to get to arrange  for documents and the key to be collected. Being transferred from one department to another while being cut off. I was not even contacted by Discovery on the accident. I'm not confident that I will use this company ever again. How long will it take before this claim will be finalized. Customer service = NON EXISTING. I have now been notified daily to take my car to Tiger Wheel and Tyres to check on the advice. Surely on your system it should display that this car was in an accident. I have not received my rebate for January 2022.",3
I received the most awesome service from Mathibedi Chueu. He is a total champ super friendly and really helpful .,5
"This review is for the exceptional service delivered by Lucky Mashaba.

He was just super. In resolving a query I had regarding my IFA account payout, he demonstrated patience with me and a desire to understand my concerns in order to help. Not only that, he called back. This follow through alone sets him apart.

I hope his contribution to Discovery Insure is recognized and that he excels.",5
"I have a personal belief that Discovery is one of the best insurers out there. But dealing with my claim has truly been the worst experience of my entire life. On the 31st of January 2022, I had an incident regarding my home and content items. I logged the claim and understood that turnaround times can vary from 2-3 days. After a week of nothing happening, I then call the claims department to understand where we are in the claim, to understand if there is something outstanding or just in general are there discrepancies in my claim that need to be re-looked at. Eventually, I finally speak to a Desktop Assessor and this time I am confident that we are moving forward with my claim. 

Week 1 ends: Nothing happens
Week 2 ends: Nothing Happens
Week 3 - after multiple mails and me sending and communicating as much needed supporting information as possible, a claims person calls me, reassures me that I will receive either a Makro or Takealot Voucher. But as the phone call ensues, she then says ""actually it looks like there is a claims partner, they will be in contact with you"". I replied, ""Alright, thank you"". 

Week 3 ends and I decide to call the specified claims partner because I believe in giving everyone the benefit of the doubt. The service provider then confirms that Discovery Insure communicated to them that they need to put my claim on hold. 

Simply put: despite all my efforts of effective communication and transparency, Discovery Insure doubled down on their lack of efforts to try and help me. 

Here are the facts: 
1) I have actively been forth-coming with all information requested
2) I have maintained the highest form of professional communication as personally do not believe in raising voices or use of adversarial wording when communicating with fellow professionals
3) I have actively followed up each week to try and understand where we are in the process and was continuously reassured ""We will replace your device, it has been approved""
4) My claims dashboard shows that nothing has been authourised and no one has explained to me why that is the case
5) We are now on week 4 and my claim is no where near resolution. 
6) I have personally called the claims number provided and after waiting and completing all the in-call USSD requests, I get put on hold then the phone drops. 

If Discovery Insure is denying my claim, then lets take active steps to try and understand WHY THAT IS HAPPENING. Hell Infact, Even if they are willing to double down, At least tell me that my claim has been denied. We are now sitting on Day 25 of the claim not being resolved. Why is any of this happening?",1
"Amazing serive from Kevin Rebese. He was so kind and calm when he took me through the process. 
#DiscoveryDidGood",5
"You really a Gem To broker servicing. I appreciate the fact that you always willing to do over and above and always being able to answer all my questions and assist me with such professionalism.

Thank You once again Ntswaki Shabangu from the Broker Servicing  department.",5
"Great service from Shafick Allow, very friendly and knowledgeable. He always going the extra mile to resolve queries.",5
"Nonhlanhla Sinthumele is the worst employee to deal with at Discovery insure third party claims department. She doesn't take calls nor return them. She doesn't even respond to emails. Honestly even the one star I gave her she doesn't deserve. I'm disappointed, it's such employee that tarnish company names.....",1
"thank you so much Jade Matjeke from Insure 24, you were an absolute star. you managed to get my family safely.
Policy number **********",5
mathibedi hueu,5
Thank you to Sharmanie Naidoo for your great service by assisting me with my policy,5
Sorted in 30 minutes! Thank you Wanda,5
Mathibedi Chueu has been kind and patient,4
Thank you Nomfundo Nkambule from the Servicing Department for your quick and efficient service.,5
"wonderful experience from ""nicole"". very professional, helpful and efficient.",5
"Tasmina Nair was efficient, kind and very thorough. Thank you.",5
"#DiscoveryDidGood

Last night my car broke down,  I got out and locked myself out of the car, called Discovery insure from a friend's phone. The assistance was super quicker and I am super grateful. Zunaid from Insure 24 made this painless. Thank you",5
Roberta Solomon is the worst person to speak to if you have a claim.she never returns calls or emails until you complain to a senior. I can't believe discovery can take over 5 days to settle a cellphone claim for a business client. There are many other insurers that settle something like this in a day or 2! service is horrible!,1
"Michaela Mc Pherson is an amazing servicing consultant , 

she made a promise to call a client after hours as requested and kept that promise. 
booking was made with the client and her service was very friendly 

thank you so much Michaela",5
"I refuse to believe that a company as big as Discovery does not have an effective customer service department, I am not certain why I am experiencing such horrible service from them. I have about 4 products with Discovery and have serviced them very well but Discovery hasnt kept to their end of the bargain. My attempt to add a fifth service was blatantly ignored, when I called to follow-up and also update one of my covers the consultant dropped and never bothered to return the call, I was already authenticated and he had all my details. Thank God for Outsurance's amazing customer service I was able to get the cover I wanted. I have checked the App for a place where I can request for a callback to update my cover and did not find any and since my attempts to communicate with Discovery through their website and call center yielded no positive results I was left with no choice but to write this review. Discovery needs to do better in their responses, especially to their existing clients.",2
I called in to the Retentions department at Discovery Insure just before 6pm to get assistance with an urgent review and I was lucky enough to get Tasmina Nair who not only assisted me with the 1 case but also offered to call me back and assist me with a few other plans as well since I am working from home. I am so grateful and appreciate your help and friendly attitude. Best call today. Thank You Tas.,5
