review_content,review_rating
My experience was really good. Kadhjia Khan was very professional and explained the policy fully. She was also friendly and helpful throughout the entire process.,5
"Tristin, thank you  so much for your help and seeing my dog as my child and not just a pet.

You are a great person 

Regards
Carla",5
"I would like to thank Brendan Bence for his careing ,prompt service he provided to my family and pet children this morning.
I must commend all the the service agents who assisted us in the past as well,sorry i did not get your names.We are 
very happy to be part of the Dotsure pet family and are happy to sing their praises to all animal lovers we come into contact with.",5
"Was great, followed up and helped with every question! 
Thanks for the great service!",5
"The service I have received throughout my active policy have been outstanding! So don't get me wrong, it's still a good provider. 

The reason for this bad review is because of the person I spoke to when I wanted to cancel my policy. Michael Borman kept trying to convince me to stay after I told him numerous times I'm only interested in canceling at the moment, I will think about returning at a later stage. 

He probably told me to ""be realistic"" no less than 4 times. So rude! Really.

When I do think about pet insurance again, Dotsure will not be on my list of options.",1
"Had the absolute best encounter with Dotsure.  Michelle Klaassen Greyling really took the time to understand and assist with my needs. She is really friendly, patient and helpful. Service overall is amazing and the pricing is tops! Really happy to have joined the family.",5
"Have only just signed up with Dotsure (pet insurance) but my experience with Gershwin Lewis has been great, he was very patient and available, answered all our questions, followed up timeously and made the sign up process easy. Also seems like a generally good human!",5
"I have had one of the worse expiriance with this insurance, I regrate ever taking in nd why did I continue with it for such a long time. I asked them to do a double debt on my account as I didn't want to have a month without insurance. They refused. What kind of an insurance is this. I will tell every1 on my instergram nd Facebook about them. This insurance is a scam people should never ever trust Dotsure car insurance.",1
"What a lovely experience dealing with Ayana Zulu from Dotsure. Friendly, so caring and she explained everything so well.",5
Michael April was amazing at getting my queries sorted efficiently and fast. Communication was great and he listened well. Thank you!,5
Nolufefe Ruiters,5
Super fast and efficient service. My claim was processed the same day and refund received 3 days later,5
Charlize Minnaar was an absolute pleasure to deal with!! 🌟,5
Had a great help from Kristen Viljoen,5
Excellent service received from Anneke Meyer.,5
I Hlanzeka Ndlovu I'm excited of the service recieved from Mohammed Suleiman. He treated me with so much respect and explained in details about the extended motor warranty. He is the master in it. Dotsure didn't make a mistake in hiring him. Keep up the good work broer.,5
-5 stars if I could!!!! I have had the worst time with dotsure pet. They took forever with claim. I had to phone and find out what was going on 3 weeks after claim was sent to find out what was going on. Cancelled my insurance with them and had to listen to phone call for half an hour to do so. Eventually I was able to cancel and my dog has been sick recently still under dotsure as month has not ended and now do not have access to manage claims or get forms. Do Not Use Dotsure unreliable!,1
Kadhija Khan's product knowledge and excellent peoples skill are the only reason I chose dotsure over ever other insurance companies,5
Consultant Gershwin was really helpful and informative excellent service provided by this gentleman,5
"D'Angelo Whyte was super friendly and informative,  he assisted me with setting up my insurance for my furbabies with such ease. I would definitely recommend Dotsure.",5
I'm in the process of claim and Amanda Nyakaza is giving me the best service.  She's always available for clarity.  I'm happy with their service.,5
"Consultant was very helpful, on point ,informative and updating my details.",5
"Great help! Very good service, I wish I had done it sooner!! Gabriella was fantastic!!!",5
Waseem Essack was very patient and friendly explaining in detail the different plans available for my puppy. He made me feel at ease that I am making the right decision for her right now. Thanks for the great service!,5
I had the best service from Kelly Jones she was very kind and helpful. We recently sent a claim through. We have received feedback regarding the claim on the same day.. Within 48 hours the claim was processed and the portion paid out. We also received  get well email from Dotsure for our pooch that we had to rush to the Vet. Dotsure all the way!!!,5
"I wanted to thank Nkosinathi Mngadi from the Warranty Department at Dotsure for the Awesome service he has provided today. I have recently taken a warranty plan with Dotsure, he made the process, effortlessly and I feel like where has Dotsure been all my life. My plan is the cheapest I have ever been quoted. Wow best Birthday gift ever!! Well Done Nkosinathi Mngadi, give that man a bells!!!",5
"I had the best service from the lady who i spoke to very kind and answered all my questions and she spoke veey clear and was super friendly. 
Glad to have my baby girls ons the policy",5
"Gabriella Julies provided excellent service, friendly and efficient. Always called when she said she would and provided all the necessary information as requested",5
Very friendly and informative.  Also patient and thorough.,5
"Luzahn Jordaan from Dotsure Pet Insurance was very helpful, friendly and gave quick response. Happy with the service and care they give.",5
Bernadine was an excellent consultant and she worked so nice with us. We are very satisfied with her services.,5
Ayanda Zulu was great.  Helped me decided on the right plan and was quick and easy to do so.  Thanks Ayanda!,5
Efficient and friendly service. Punctual,5
Bianca Johnson helped me sign up with dotsure pet insurance this morning. She explained everything really well and made it a quick and easy process! Thank you Bianca!,5
"<div>It was a great experience to have Troy Stoffels assist me and made my mind up to use Dot Sure for car insurance.
All was discussed clearly and easy to understand with his clear instructions.
Thank you Troy for excellent service
Fred Klassen</div>",5
